epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.28835,1.45551,4.36814,1.13195,0.00237,0.66667,0.11871,0.09439,1.14319,3.78688,0.94337,8.574e-05,8.574e-05,8.574e-05
2,16.6175,1.69369,4.01342,1.07443,0.00293,0.9,0.23236,0.13125,1.16894,3.76625,0.91732,0.000183931,0.000183931,0.000183931
3,25.0199,1.77609,2.9862,1.07255,0.00309,0.92222,0.33583,0.19218,1.24714,3.67386,0.92522,0.000280141,0.000280141,0.000280141
4,33.3472,1.40147,2.05416,0.98117,0.00337,0.92222,0.33307,0.20642,1.23865,3.58588,0.92954,0.000374371,0.000374371,0.000374371
5,41.755,1.49394,2.19145,1.01398,0.00336,0.92222,0.19219,0.14459,1.13752,3.58673,0.94492,0.00046662,0.00046662,0.00046662
6,50.0171,1.53821,2.25762,1.0661,0.00277,0.86667,0.11375,0.07492,1.28107,3.62609,1.00669,0.000556888,0.000556888,0.000556888
7,58.3373,1.33196,3.30454,0.91956,0.00252,0.9,0.32626,0.1986,1.50327,3.41073,1.10891,0.000645176,0.000645176,0.000645176
8,66.6332,1.54215,1.79247,1.03778,0.00255,0.92222,0.33029,0.22111,1.30263,3.31348,1.04185,0.000731484,0.000731484,0.000731484
9,74.8846,1.29802,1.55081,1.02246,1,0.143,0.51901,0.37706,1.19133,3.04058,1.02391,0.00081581,0.00081581,0.00081581
10,83.1852,1.4447,1.65166,1.108,0.82548,0.76465,0.74288,0.47192,1.26377,3.06425,1.04778,0.000898157,0.000898157,0.000898157
11,91.4816,1.34741,1.55313,1.03633,0.99426,0.50402,0.75109,0.44744,1.37513,3.07047,1.06045,0.000978522,0.000978522,0.000978522
12,99.7807,1.4029,1.75115,1.09434,1,0.35893,0.89427,0.53096,1.41015,2.58767,1.08667,0.00105691,0.00105691,0.00105691
13,107.988,1.42427,1.72457,1.01112,1,0.52297,0.87436,0.49106,1.42729,2.52963,1.0996,0.00113331,0.00113331,0.00113331
14,116.223,1.44124,1.95211,1.05889,0.95882,0.52186,0.91979,0.47359,1.49582,2.55868,1.12994,0.00120774,0.00120774,0.00120774
15,124.488,1.44312,1.60154,1.07606,0.92061,0.79286,0.91209,0.58092,1.39331,1.91375,1.09441,0.00123094,0.00123094,0.00123094
16,133.059,1.40086,1.50647,1.04474,0.93121,0.91882,0.93143,0.54088,1.3118,1.47471,1.09573,0.00121679,0.00121679,0.00121679
17,141.916,1.36229,1.42953,1.02139,0.83776,0.86399,0.88628,0.53539,1.36859,1.41811,1.11325,0.00120265,0.00120265,0.00120265
18,151.401,1.37049,1.491,1.04463,0.89287,0.81836,0.88234,0.51463,1.47984,1.66284,1.16287,0.0011885,0.0011885,0.0011885
19,160.75,1.37713,1.49704,1.02195,0.8268,0.81833,0.93731,0.49774,1.44268,1.39369,1.17595,0.00117435,0.00117435,0.00117435
20,170.091,1.39126,1.88292,1.01831,0.98322,0.89383,0.95217,0.53983,1.30888,1.28533,1.10944,0.00116021,0.00116021,0.00116021
21,179.724,1.472,1.40051,1.08154,0.93866,0.87505,0.95573,0.58732,1.26499,1.27744,1.09392,0.00114606,0.00114606,0.00114606
22,189.476,1.21855,1.38585,0.99976,0.85479,0.87763,0.94167,0.54877,1.37572,1.27226,1.13228,0.00113191,0.00113191,0.00113191
23,199.353,1.26578,1.45263,0.99986,0.75324,0.85018,0.93294,0.48633,1.5513,1.40636,1.22756,0.00111776,0.00111776,0.00111776
24,209.349,1.17619,1.34537,1.01585,0.82653,0.88443,0.92731,0.51254,1.48569,1.21986,1.21047,0.00110362,0.00110362,0.00110362
25,219.47,1.23417,1.28926,0.99916,0.91628,0.9,0.9782,0.51617,1.51449,1.2196,1.2075,0.00108947,0.00108947,0.00108947
26,229.758,1.37,1.34105,1.00322,0.94524,0.90485,0.97746,0.50465,1.51508,1.2238,1.21646,0.00107532,0.00107532,0.00107532
27,239.904,1.38452,1.30799,1.12597,0.90201,0.91652,0.95777,0.51786,1.39527,1.23843,1.16635,0.00106118,0.00106118,0.00106118
28,250.016,1.31718,1.23527,1.00774,0.91984,0.84866,0.95331,0.57862,1.2994,1.14559,1.0999,0.00104703,0.00104703,0.00104703
29,260.072,1.3917,1.48454,1.14325,0.9576,0.81954,0.94348,0.58064,1.23899,1.11034,1.08743,0.00103288,0.00103288,0.00103288
30,270.16,1.21574,1.24085,1.01401,0.92085,0.92883,0.94167,0.56755,1.26644,0.98628,1.10471,0.00101873,0.00101873,0.00101873
31,280.186,1.29043,1.30178,1.03315,0.87568,0.87714,0.97181,0.55268,1.28693,1.18234,1.09415,0.00100459,0.00100459,0.00100459
32,290.169,1.18172,1.26104,1.03084,0.89126,0.94444,0.97722,0.57766,1.26368,0.99175,1.09924,0.00099044,0.00099044,0.00099044
33,300.182,1.28129,1.09304,1.03867,0.94156,0.94444,0.98042,0.56279,1.26776,0.97022,1.09961,0.000976293,0.000976293,0.000976293
34,310.17,1.18656,1.05894,0.98826,0.89892,0.91314,0.92847,0.55128,1.25083,0.90842,1.09628,0.000962146,0.000962146,0.000962146
