epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.14942,0,40.459,0,0,0,0,0,0,39.1212,0,0.00010002,0.00010002,0.00010002
2,16.3146,0,38.9012,0,0,0,0,0,0,39.0386,0,0.000214565,0.000214565,0.000214565
3,24.4886,0,36.0329,0,0,0,0,0,0,38.7923,0,0.000326799,0.000326799,0.000326799
4,32.6135,0,33.6353,0,0,0,0,0,0,39.9343,0,0.000436722,0.000436722,0.000436722
5,40.766,0,31.4106,0,0,0,0,0,0,178.714,0,0.000544336,0.000544336,0.000544336
6,48.9998,0,29.9558,0,0,0,0,0,0,374.885,0,0.000649638,0.000649638,0.000649638
7,57.3822,0,28.7309,0,0,0,0,0,0,46008.7,0,0.00075263,0.00075263,0.00075263
8,65.7393,0,27.4108,0,0,0,0,0,0,272684,0,0.000853312,0.000853312,0.000853312
9,73.9041,0,26.6058,0,0,0,0,0,0,40.621,0,0.000951684,0.000951684,0.000951684
10,82.0714,0,26.3924,0,0,0,0,0,0,21.3294,0,0.00104774,0.00104774,0.00104774
